zinc_id	target	score	activity
5430538	NSP9-NSP12	-9.526	single
154182381	NSP9-NSP12	-9.031	single
1639104	NSP9-NSP12	-9.008	single
169492704	NSP9-NSP12	-8.784	NSP12-NSP7+NSP9-NSP12
16957502	NSP9-NSP12	-8.776	single
13973825	NSP9-NSP12	-8.669	NSP12-NSP7+NSP9-NSP12
12933679	NSP9-NSP12	-8.665	NSP12-NSP7+NSP9-NSP12
6379404	NSP9-NSP12	-8.665	single
8653357	NSP9-NSP12	-8.539	single
310935	NSP9-NSP12	-8.486	NSP12-NSP7+NSP9-NSP12
351016	NSP9-NSP12	-8.407	TRIPLE
16382889	NSP9-NSP12	-8.401	single
1868517	NSP9-NSP12	-8.389	NSP12-NSP7+NSP9-NSP12
153402601	NSP9-NSP12	-8.385	single
104095681	NSP12-NSP7	-8.384	NSP12-NSP7+NSP9-NSP12
44019169	NSP9-NSP12	-8.377	NSP12-NSP7+NSP9-NSP12
725326936	NSP9-NSP12	-8.355	single
1565916	NSP9-NSP12	-8.315	single
6379405	NSP9-NSP12	-8.309	single
4543942	NSP9-NSP12	-8.25	NSP12-NSP7+NSP9-NSP12
1875248791	NSP9-NSP12	-8.247	single
5024943	NSP12-NSP7	-8.225	TRIPLE
310935	NSP12-NSP7	-8.193	NSP12-NSP7+NSP9-NSP12
351017	NSP12-NSP7	-8.153	TRIPLE
13633805	NSP12-NSP7	-8.087	TRIPLE
13633807	NSP12-NSP7	-8.081	TRIPLE
1913098	NSP12-NSP7	-7.843	NSP12-NSP7+NSP9-NSP12
20713713	NSP12-NSP7	-7.817	NSP12-NSP7+NSP9-NSP12
5024943	NSP12-NSP8	-7.79	TRIPLE
952869091	NSP12-NSP7	-7.773	single
351017	NSP12-NSP8	-7.759	TRIPLE
12391597	NSP12-NSP7	-7.759	single
1868517	NSP12-NSP7	-7.755	NSP12-NSP7+NSP9-NSP12
3988395	NSP12-NSP7	-7.71	NSP12-NSP7+NSP9-NSP12
953120021	NSP12-NSP7	-7.695	single
893725788	NSP12-NSP7	-7.693	NSP12-NSP7+NSP9-NSP12
1700830	NSP12-NSP7	-7.676	NSP12-NSP7+NSP9-NSP12
13726054	NSP12-NSP7	-7.66	NSP12-NSP7+NSP9-NSP12
65424644	NSP12-NSP7	-7.646	NSP12-NSP7+NSP9-NSP12
1857671574	NSP12-NSP7	-7.642	NSP12-NSP7+NSP9-NSP12
5024944	NSP12-NSP7	-7.633	TRIPLE
12788784	NSP12-NSP7	-7.621	NSP12-NSP7+NSP9-NSP12
5024942	NSP12-NSP8	-7.558	NSP9-NSP12+NSP12-NSP8
351018	NSP12-NSP8	-7.553	TRIPLE
351019	NSP12-NSP8	-7.542	TRIPLE
351016	NSP12-NSP8	-7.439	TRIPLE
2015837	NSP12-NSP8	-7.296	NSP9-NSP12+NSP12-NSP8
5024945	NSP12-NSP8	-7.262	TRIPLE
13633807	NSP12-NSP8	-7.218	TRIPLE
5024944	NSP12-NSP8	-7.185	TRIPLE
13633805	NSP12-NSP8	-7.168	TRIPLE
102709981	NSP12-NSP8	-7.133	NSP9-NSP12+NSP12-NSP8
3169307	NSP12-NSP8	-7.115	TRIPLE
13662104	NSP12-NSP8	-7.091	TRIPLE
5528343	NSP12-NSP8	-7.072	NSP12-NSP7+NSP12-NSP8
5566998	NSP12-NSP8	-7.016	single
17141086	NSP12-NSP8	-6.997	single
5528344	NSP12-NSP8	-6.966	single
4990786	NSP12-NSP8	-6.96	NSP12-NSP7+NSP9-NSP12
13973825	NSP12-NSP8	-6.955	NSP12-NSP7+NSP9-NSP12
